id_pais;pais;capital;id_continente;id_idioma;id_gobierno;id_moneda;habitantes;habitantes_mujeres;habitantes_hombres;esperanza_de_vida_m;esperanza_de_vida_h
NULL;SEYCHELLES;VICTORIA;1;33;13;137;99257;46958;52299;82;73
NULL;SIERRA LEONA;FREETOWN;1;45;13;89;8420642;4201801;4218841;61;58
NULL;SINGAPUR;CIUDAD DE SINGAPUR;3;59;12;52;5453566;2601057;2852509;86;82
NULL;SIRIA;DAMASCO;3;5;14;97;21324367;10643230;10681137;76;69
NULL;SOMALIA;MOGADISCIO;1;80;12;11;17065581;8509953;8555628;58;54
NULL;SRI LANKA;KOTTE;3;79;14;138;22156000;11481595;10674405;80;73
NULL;SUAZILANDIA;MBABANE;1;47;4;100;1192272;600441;591831;64;56
NULL;SUDAFRICA;PRETORIA;1;45;12;121;59392254;30497646;28894608;68;61
NULL;SUDAN;JARTUM;1;6;13;98;45657201;22842482;22814719;68;63
NULL;SUDAN DEL SUR;JUBA;1;45;13;99;10748272;5427688;5320584;57;54
NULL;SUECIA;ESTOCOLMO;4;81;7;21;10379295;5156448;5222847;85;82
NULL;SUIZA;BERNA;4;34;12;74;8670300;4367701;4302599;86;82
NULL;SURINAM;PARAMARIBO;2;66;12;53;612985;307598;305387;76;69
NULL;TAILANDIA;BANGKOK;3;83;5;3;71601104;36807094;34794010;84;75
NULL;TANZANIA;DODOMA;1;8;13;12;63588334;32170681;31417653;69;64
NULL;TAYIKISTAN;DUSAMBE;3;84;13;142;9750064;4843921;4906143;70;66
NULL;TIMOR ORIENTAL;DILI;3;72;14;35;1320941;647343;673598;70;67
NULL;TOGO;LOME;1;31;13;72;8644829;4299551;4345278;62;60
NULL;TONGA;NUKUALOFA;5;45;5;110;106018;53578;52440;74;68
NULL;TRINIDAD Y TOBAGO;PUERTO ESPAÑA;2;45;12;43;1525663;772874;752789;78;71
NULL;TUNEZ;CIUDAD DE TUNEZ;1;5;14;31;12262945;6205901;6057044;79;72
NULL;TURKMENISTAN;ASJABAD;3;86;13;103;6341855;3200126;3141729;72;65
NULL;TURQUIA;ANKARA;3;85;13;101;83614362;41698377;41915985;81;76
NULL;TUVALU;FUNATUFI;5;45;5;37;11204;5449;5755;69;65
NULL;UCRANIA;KIEV;4;87;14;77;43792855;23524526;20268329;74;64
NULL;UGANDA;KAMPALA;1;45;13;13;45853778;23153140;22700638;65;61
NULL;URUGUAY;MONTEVIDEO;2;25;13;118;3426260;1766768;1659492;72;69
NULL;UZBEKISTAN;TASKENT;3;89;13;141;34915099;17446107;17468992;73;68
NULL;VANUATU;PORT VILA;5;33;12;148;319137;158631;160506;72;69
NULL;VENEZUELA;CARACAS;2;25;13;5;28199867;14243056;13956811;76;67
NULL;VIETNAM;HANOI;3;90;3;54;97468028;49331842;48136186;80;71
NULL;YEMEN;SANA;3;5;13;126;32981642;16313210;16668432;68;62
NULL;YIBUTI;CIUDAD DE YIBUTI;1;32;13;75;1105557;556667;548890;65;60
NULL;ZAMBIA;LUSAKA;1;45;13;83;19473125;9864121;9609004;65;60
NULL;ZIMBABUE;HARARE;1;45;13;35;15993524;8449834;7543690;64;58
